호출부호,선사,선명,총톤수,LOA
DCQP2,HLC,ESSENEXPRESS,143262,366
5LKJ9,ONE,RDOACE,112967,336
5LFP2,HLC,TAYMAEXPRESS,141077,366
D5CE3,ONE,GSLCHLOE,26374,209
5LLM5,HLC,AINSNANEXPRESS,141650,366
A8OR7,YML,YMUTILITY,90507,333
UBOW6,FES,FESCOYANINA,9522,142
V7YB6,ONE,CALIDRIS,35878,213
V7A2935,HMM,INFERRO,19035,171
MEED8,HMM,HYUNDAIJUPITER,110632,324
5BEX4,ONE,MARINAONE,28007,222
5LDS8,HLC,TANGIEREXPRESS,141077,366
D5BA3,HMM,PELICAN,16770,172
V2CW5,HLC,LANTAUBAY,9610,143
5LAM7,HMM,HMMHANUL,152003,366
D5OS4,ONE,MARIAC,27003,210
5LDX9,HLC,ALULAEXPRESS,141077,368
D5IR3,MSC,MSCOLIA,35991,231
D5CE3,ONE,GSLCHLOE,26374,209
3FKA6,HMM,POSHOCHIMINH,18085,172
5LFC6,ONE,CONTICRYSTAL,90449,334
D7CX,HMM,HYUNDAIVANCOUVER,72634,293
D7HB,HMM,HMMBANGKOK,75308,303
MEDZ8,HMM,HYUNDAIPLUTO,110632,324
5LCZ4,YML,YMTOGETHER,118524,333
UBOW6,FES,FESCOYANINA,9522,142
D5PZ5,HMM,ASSUSANNA,18123,175
D7SP,HMM,PANCONCHAMPION,18606,172
VRPF7,YML,YMWINDOW,145136,367
5LCI2,ONE,SEABREEZE,27104,199
3FTZ5,ONE,STSUCCESS,27104,200
D5PZ5,ONE,ASSUSANNA,18123,175
3FIW4,ONE,ONEHELSINKI,96801,335
V2CW5,HLC,LANTAUBAY,9610,143
VRVC9,ONE,ONEFOREVER,154724,366
5BZM3,HMM,HYUNDAISHANGHAI,74651,304
3FTY6,ONE,SANDIEGOBRIDGE,71787,293
V7YB6,ONE,CALIDRIS,35878,213
3FXN9,EMC,EVERURBAN,69246,285
D5CE3,ONE,GSLCHLOE,26374,209
7KBO,ONE,ONEMADRID,152068,366
V7QC3,HMM,HYUNDAIGRACE,52581,294
MGGA6,HMM,HYUNDAIMARS,110632,324
9LU2672,FES,VLADIVOSTOK,16542,184
D5OS4,ONE,MARIAC,27003,210
5LLI4,HLC,JEBELALI,141077,366
5LPS6,HMM,HMMAMETHYST,126995,335
V7GQ8,ONE,WIDEHOTEL,51872,255
VROO6,YML,YMWORTH,145324,368
D5YY9,HMM,HMMGAON,152003,366
3EWX3,ONE,SPARKLE,27104,199
V7A2661,HMM,INCEDA,19035,171
V7PT8,HMM,HYUNDAIFORCE,95681,340
5LDS9,HLC,ALQIBLAEXPRESS,141077,366
5LCI2,ONE,SEABREEZE,27104,199
D5CE3,ONE,GSLCHLOE,26374,209
5LFF8,YML,YMTHRONE,118524,333
9LU2672,FES,VLADIVOSTOK,16542,184
MGGA4,HMM,HYUNDAIEARTH,110632,324
D7HI,HMM,HYUNDAIINTEGRAL,53100,295
V7A2935,HMM,INFERRO,19035,171
D5BA3,HMM,PELICAN,16770,172
VRPE5,YML,YMWIDTH,145136,368
V7YB6,ONE,CALIDRIS,35878,213
D5OS4,ONE,MARIAC,27003,210
V2CW5,HLC,LANTAUBAY,9610,143
HSB3403,RCL,WANABHUM,24181,195
VROO4,YML,YMWHOLESOME,145324,368
9V7963,EMC,EVERUNICORN,69246,285
3FMK3,ONE,ONEHANGZHOUBAY,96790,335
D5CE3,ONE,GSLCHLOE,26374,209
V7QI4,HMM,HYUNDAIDYNASTY,52581,295
5LGV4,YML,YMTRILLION,118524,334
UBOW6,FES,FESCOYANINA,9522,142
5LEV4,HLC,UNAYZAHEXPRESS,141077,366
VROO5,YML,YMWARMTH,145324,368
D5CC6,HLC,JAKARTAEXPRESS,48799,260
VRVT5,FES,BOHAISTAR,7409,128
5BEX4,ONE,MARINAONE,28007,222
MGGA2,HMM,HYUNDAISATURN,110632,324
5LAM9,HMM,HMMRAON,152003,366
V2CW5,HLC,LANTAUBAY,9610,143
3FKA6,HMM,POSHOCHIMINH,18085,172
D7SP,HMM,PANCONCHAMPION,18606,172
VRNA8,HLC,SEASPANYANGTZE,112967,337
D5EC4,HMM,HYUNDAIPLATINUM,52467,255
5LCI2,ONE,SEABREEZE,27104,199
V7YB6,ONE,CALIDRIS,35878,213
D7EV,HMM,HMMPROMISE,114023,330
CQ2076,HLC,ROMEEXPRESS,141328,366
UBOW6,FES,FESCOYANINA,9522,142
C6WD9,ONE,MOLCREATION,86692,316
D5OS4,ONE,MARIAC,27003,210
VRPF8,YML,YMWELCOME,145136,368
3FTZ5,ONE,STSUCCESS,27104,200
D5CE3,ONE,GSLCHLOE,26374,209
5LAM6,HMM,HMMDAON,152003,366
5LPB9,HLC,HOPEC,9921,147
V7A2661,HMM,INCEDA,19035,171
9HA5658,ONE,CONTICONTESSA,90449,334
D5DY5,HMM,HYUNDAIPRIVILEGE,52467,255
D7GW,HMM,HYUNDAIGOODWILL,53100,294
UBOW6,FES,FESCOYANINA,9522,142
5LCI2,ONE,SEABREEZE,27104,199
7JXG,ONE,ONECOMMITMENT,87022,316
VRVQ3,ONE,ONECOSMOS,88089,320
V7YB6,ONE,CALIDRIS,35878,213
V7A2935,HMM,INFERRO,19035,171
D5CE3,ONE,GSLCHLOE,26374,209
V7PP4,HMM,HYUNDAICOURAGE,95681,340
D7CU,HMM,HMMTACOMA,72597,293
5LPB9,HLC,HOPEC,9921,147
V7PS7,HMM,HYUNDAIFAITH,95681,340
5LLQ5,HLC,UMMSALAL,141077,366
VROO3,YML,YMWELLNESS,145324,368
D5OS4,ONE,MARIAC,27003,210
VRVT5,FES,BOHAISTAR,7409,128
DFGA2,HLC,ALNASRIYAH,153148,368
3EWX3,ONE,SPARKLE,27104,199
D5BA3,HMM,PELICAN,16770,172
MEED8,HMM,HYUNDAIJUPITER,110632,324
UBOW6,FES,FESCOYANINA,9522,142
D5CE3,ONE,GSLCHLOE,26374,209
9V9804,HLC,CHARLOTTESCHULTE,51872,255
D7CX,HMM,HYUNDAIVANCOUVER,72634,293
5LMT7,YML,YMWELLSPRING,150754,366
5LPB9,HLC,HOPEC,9921,147
BLHQ,YML,YMUNIFORMITY,91586,333
5LCI2,ONE,SEABREEZE,27104,199
D5CX8,HMM,HYUNDAIPRESTIGE,52467,255
V7YB6,ONE,CALIDRIS,35878,213
CQ2077,HLC,SOUTHAMPTONEXPRESS,141328,366
D7SP,HMM,PANCONCHAMPION,18606,172
3FKA6,HMM,POSHOCHIMINH,18085,172
UBOW6,FES,FESCOYANINA,9522,142
VROH8,YML,YMWELLHEAD,145324,368
D5CE3,ONE,GSLCHLOE,26374,209
HSB3403,RCL,WANABHUM,24181,195
D5OS4,ONE,MARIAC,27003,210
5LPB9,HLC,HOPEC,9921,147
5BEX4,ONE,MARINAONE,28007,222
5LQI5,HMM,HMMEMERALD,126995,335
VRVT5,FES,BOHAISTAR,7409,128
V7A2661,HMM,INCEDA,19035,171
V7QL3,HMM,HYUNDAISUPREME,52581,294
9V9757,YML,YMWARRANTY,150754,366
5LCZ4,YML,YMTOGETHER,118524,333
DJBF2,HLC,SHANGHAIEXPRESS,143262,366
UBOW6,FES,FESCOYANINA,9522,142
5LCI2,ONE,SEABREEZE,27104,199
VRTF4,ONE,SEASPANADONIS,106154,333
D5CE3,ONE,GSLCHLOE,26374,209
DIKI2,HLC,UMMQARN,153148,368
V7A2935,HMM,INFERRO,19035,171
V7YB6,ONE,CALIDRIS,35878,213
5BZK3,HMM,HYUNDAITOKYO,74651,304
5LPB9,HLC,HOPEC,9921,147
V7PX6,HMM,HYUNDAIUNITY,52581,294
3FTZ5,ONE,STSUCCESS,27104,200
5LPX9,HMM,HMMAQUAMARINE,126995,335
D5OS4,ONE,MARIAC,27003,210
5LOT3,HMM,HMMGARNET,126995,335
7KHW,ONE,ONEALTAIR,105644,333
VROC3,YML,YMWISH,144651,368
DIXJ2,HLC,NEWYORKEXPRESS,143262,366
3FVL4,YML,YMMOVEMENT,71821,293
D5CE3,ONE,GSLCHLOE,26374,209
MGGA4,HMM,HYUNDAIEARTH,110632,324
V7GQ8,ONE,WIDEHOTEL,51872,255
VRVT5,FES,BOHAISTAR,7409,128
5LJC2,FES,FESCODIOMID,35250,220
5LPB9,HLC,HOPEC,9921,147
D5DQ8,HMM,HYUNDAIPARAMOUNT,52467,255
DCUJ2,HLC,CHICAGOEXPRESS,93811,336
9V7963,EMC,EVERUNICORN,69246,285
5LCI2,ONE,SEABREEZE,27104,199
V7YB6,ONE,CALIDRIS,35878,213
D7DR,HMM,HMMDREAM,142620,365
5LQI4,HMM,HMMDIAMOND,126995,335
D7SP,HMM,PANCONCHAMPION,18606,172
3FKA6,HMM,POSHOCHIMINH,18085,172
3EWX3,ONE,SPARKLE,27104,199
UBOW6,FES,FESCOYANINA,9522,142
D5CE3,ONE,GSLCHLOE,26374,209
ZGOK7,ONE,ONEARCADIA,105644,332
7JVP,ONE,ONEMANHATTAN,153453,366
5LBQ9,MSC,MSCTRADERII,16803,184
D5OS4,ONE,MARIAC,27003,210
MGGA2,HMM,HYUNDAISATURN,110632,324
5LPB9,HLC,HOPEC,9921,147
D5XC3,YML,YMTRIUMPH,115761,332
V7A2661,HMM,INCEDA,19035,171
5LOK3,YML,YMWISDOM,151451,366
5LAM7,HMM,HMMHANUL,152003,366
D7HJ,HMM,HYUNDAIJAKARTA,75308,304
7KIL,ONE,ONETHESEUS,76862,304
5LCI2,ONE,SEABREEZE,27104,199
D7EV,HMM,HMMPROMISE,114023,330
UBOW6,FES,FESCOYANINA,9522,142
D5DY5,HMM,HYUNDAIPRIVILEGE,52467,255
D5CE3,ONE,GSLCHLOE,26374,209
VRVT5,FES,BOHAISTAR,7409,128
HSB3403,RCL,WANABHUM,24181,195
V7YB6,ONE,CALIDRIS,35878,213
V7A2935,HMM,INFERRO,19035,171
V7PP4,HMM,HYUNDAICOURAGE,95681,340
VROO6,YML,YMWORTH,145324,368
5LGV4,YML,YMTRILLION,118524,334
D5OS4,ONE,MARIAC,27003,210
5LPB9,HLC,HOPEC,9921,147
5BEX4,ONE,MARINAONE,28007,222
A8OR8,YML,YMUNIFORM,90507,333
5LRB6,HMM,HMMRUBY,126943,336
3E5389,HMM,HMMMIRACLE,18812,172
D5DG9,HMM,HYUNDAIPREMIUM,52467,254
5LCJ8,ONE,CONTICONQUEST,90449,334
D5YY9,HMM,HMMGAON,152003,366
C6WN8,ONE,MOLCHARISMA,86692,316
VRVT5,FES,BOHAISTAR,7409,128
UBOW6,FES,FESCOYANINA,9522,142
D5CE3,ONE,GSLCHLOE,26374,209
VROO4,YML,YMWHOLESOME,145324,368
3FVW2,ONE,ONEHAMBURG,98747,336
5LCI2,ONE,SEABREEZE,27104,199
5LPB9,HLC,HOPEC,9921,147
V7YB6,ONE,CALIDRIS,35878,213
H9EW,YML,YMMODERATION,71821,293
9V9804,HLC,CHARLOTTESCHULTE,51872,255
D5FE7,YML,YMMODESTY,71821,292
VRVQ3,ONE,ONECOSMOS,88089,320
3FTZ5,ONE,STSUCCESS,27104,200
VRTN4,HLC,MADRIDEXPRESS,141328,366
3E5307,HMM,HMMHARMONY,18812,172
UBOW6,FES,FESCOYANINA,9522,142
D5OS4,ONE,MARIAC,27003,210
D7SP,HMM,PANCONCHAMPION,18606,172
D7CX,HMM,HYUNDAIVANCOUVER,72634,293
MEED8,HMM,HYUNDAIJUPITER,110632,324
5LFC6,ONE,CONTICRYSTAL,90449,334
V7QC3,HMM,HYUNDAIGRACE,52581,294
D5CE3,ONE,GSLCHLOE,26374,209
3FKA6,HMM,POSHOCHIMINH,18085,172
5LPB9,HLC,HOPEC,9921,147
VRPF8,YML,YMWELCOME,145136,368
7KDP,ONE,ONEBLUEJAY,145251,364
VRVT5,FES,BOHAISTAR,7409,128
DFKM2,HLC,DORTMUNDEXPRESS,143262,366
5LPS6,HMM,HMMAMETHYST,126995,335
5LCI2,ONE,SEABREEZE,27104,199
V7A2661,HMM,INCEDA,19035,171
UBOW6,FES,FESCOYANINA,9522,142
V7YB6,ONE,CALIDRIS,35878,213
5LAM9,HMM,HMMRAON,152003,366
V7A2935,HMM,INFERRO,19035,171
3EWX3,ONE,SPARKLE,27104,199
MEDZ8,HMM,HYUNDAIPLUTO,110632,324
D5CE3,ONE,GSLCHLOE,26374,209
D5OS4,ONE,MARIAC,27003,210
5LPB9,HLC,HOPEC,9921,147
5LDX9,HLC,ALULAEXPRESS,141077,368
D5XC6,YML,YMTARGET,115761,330
3FXN9,EMC,EVERURBAN,69246,285
D7HI,HMM,HYUNDAIINTEGRAL,53100,295
A8XY5,YML,YMMUTUALITY,76787,305
5LDS8,HLC,TANGIEREXPRESS,141077,366
7JWL,ONE,ONECOMPETENCE,87035,316
5LJC4,FES,FESCOSOFIA,35840,221
VROO3,YML,YMWELLNESS,145324,368
3E5389,HMM,HMMMIRACLE,18812,172
5LQI5,HMM,HMMEMERALD,126995,335
V7EY4,HMM,HYUNDAIBRAVE,95681,339
VRVT5,FES,BOHAISTAR,7409,128
V7YB6,ONE,CALIDRIS,35878,213
5LPB9,HLC,HOPEC,9921,147
D5CE3,ONE,GSLCHLOE,26374,209
5LAM6,HMM,HMMDAON,152003,366
5LMT7,YML,YMWELLSPRING,150754,366
5LPC4,FES,KAPITANMASLOV,25260,184
5LCI2,ONE,SEABREEZE,27104,199
UBOW6,FES,FESCOYANINA,9522,142
5LDS9,HLC,ALQIBLAEXPRESS,141077,366
V7GQ8,ONE,WIDEHOTEL,51872,255
3E5307,HMM,HMMHARMONY,18812,172
5LRX9,HMM,HMMPEARL,126995,335
D7SP,HMM,PANCONCHAMPION,18606,172
MGGA2,HMM,HYUNDAISATURN,110632,324
5LQQ8,HMM,HMMPERIDOT,126943,336
3FKA6,HMM,POSHOCHIMINH,18085,172
5LPB9,HLC,HOPEC,9921,147
DFGA2,HLC,ALNASRIYAH,153148,368
5BEX4,ONE,MARINAONE,28007,222
3FVL4,YML,YMMOVEMENT,71821,293
9VFL3,ONE,ACXDIAMOND,29060,223
D5EC4,HMM,HYUNDAIPLATINUM,52467,255
3FMK3,ONE,ONEHANGZHOUBAY,96790,335
D5CE3,ONE,GSLCHLOE,26374,209
D7GW,HMM,HYUNDAIGOODWILL,53100,294
5LCZ4,YML,YMTOGETHER,118524,333
UBOW6,FES,FESCOYANINA,9522,142
3E6006,BEN,YONGSHUN,16405,167
5LLI4,HLC,JEBELALI,141077,366
MGGA4,HMM,HYUNDAIEARTH,110632,324
5LCI2,ONE,SEABREEZE,27104,199
5LPB9,HLC,HOPEC,9921,147
7KDP,ONE,ONEBLUEJAY,145251,364
UBIY3,FES,FESCOTATARSTAN,7560,129
V7YB6,ONE,CALIDRIS,35878,213
5LLM5,HLC,AINSNANEXPRESS,141650,366
5LRN9,HMM,HMMSAPPHIRE,126943,336
D5CE3,ONE,GSLCHLOE,26374,209
V7A2935,HMM,INFERRO,19035,171
C6WD9,ONE,MOLCREATION,86692,316
D7EV,HMM,HMMPROMISE,114023,330
D7CU,HMM,HMMTACOMA,72597,293
5LJC2,FES,FESCODIOMID,35250,220
DCUJ2,HLC,CHICAGOEXPRESS,93811,336
9VFL3,ONE,ACXDIAMOND,29060,223
3FTZ5,ONE,STSUCCESS,27104,200
3E5389,HMM,HMMMIRACLE,18812,172
D5DY5,HMM,HYUNDAIPRIVILEGE,52467,255
VROH8,YML,YMWELLHEAD,145324,368
A8PT6,FES,FSIPANEMA,21265,180
7JXG,ONE,ONECOMMITMENT,87022,316
9V9757,YML,YMWARRANTY,150754,366
D5CE3,ONE,GSLCHLOE,26374,209
5LPX9,HMM,HMMAQUAMARINE,126995,335
VROC3,YML,YMWISH,145324,368
D5DG9,HMM,HYUNDAIPREMIUM,52467,254
5LCI2,ONE,SEABREEZE,27104,199
CQ2076,HLC,ROMEEXPRESS,141328,366
DJAZ2,HLC,HONGKONGEXPRESS,143262,366
V7YB6,ONE,CALIDRIS,35878,213
D7SP,HMM,PANCONCHAMPION,18606,172
7JVP,ONE,ONEMANHATTAN,153453,366
A8OR8,YML,YMUNIFORM,90507,333
UBIY3,FES,FESCOTATARSTAN,7560,129
D7JM,HMM,HMMHAMBURG,228283,400
5LPB9,HLC,HOPEC,9921,147
3E5307,HMM,HMMHARMONY,18812,172
A8PT6,FES,FSIPANEMA,21265,180
9V9804,HLC,CHARLOTTESCHULTE,51872,255
D5CE3,ONE,GSLCHLOE,26374,209
5LRB6,HMM,HMMRUBY,126943,336
V7PX2,HMM,HYUNDAIFORWARD,52581,294
HSB3403,RCL,WANABHUM,24181,195
7KPZ,ONE,ONECONTRIBUTION,87023,316
9VFL3,ONE,ACXDIAMOND,29060,223
D5XC7,YML,YMTIPTOP,115761,332
5LLQ5,HLC,UMMSALAL,141077,366
5LCI2,ONE,SEABREEZE,27104,199
V7QC3,HMM,HYUNDAIGRACE,52581,294
VROO6,YML,YMWORTH,145324,368
DIKI2,HLC,UMMQARN,153148,368
UBOW6,FES,FESCOYANINA,9522,142
H9EW,YML,YMMODERATION,71821,293
D7HB,HMM,HMMBANGKOK,75308,303
V7A2935,HMM,INFERRO,19035,171
3EWX3,ONE,SPARKLE,27104,199
D5CE3,ONE,GSLCHLOE,26374,209
5LPB9,HLC,HOPEC,9921,147
C6WN8,ONE,MOLCHARISMA,86692,316
KGMQ,APL,APLISLANDER,17594,170
D7DR,HMM,HMMDREAM,142620,365
5LSB8,HMM,HMMTOPAZ,126943,336
V7YB6,ONE,CALIDRIS,35878,213
5LGV4,YML,YMTRILLION,118524,334
DJBF2,HLC,SHANGHAIEXPRESS,143262,366
UBIY3,FES,FESCOTATARSTAN,7560,129
3E5389,HMM,HMMMIRACLE,18812,172
5LJB8,FES,KAPITANAFANASYEV,16542,184
VROO4,YML,YMWHOLESOME,145324,368
V7QJ9,HMM,HYUNDAIVOYAGER,52581,294
D5XC3,YML,YMTRIUMPH,115761,332
5BEX4,ONE,MARINAONE,28007,222
D5CE3,ONE,GSLCHLOE,26374,209
3FXN9,EMC,EVERURBAN,69246,285
5LPB9,HLC,HOPEC,9921,147
5LEV4,HLC,UNAYZAHEXPRESS,141077,366
VRTO4,HLC,PARISEXPRESS,140259,367
9VFL3,ONE,ACXDIAMOND,29060,223
D7HV,HMM,HMMVICTORY,142620,366
VRTF4,ONE,SEASPANADONIS,106154,333
VRVQ3,ONE,ONECOSMOS,88089,320
5LCI2,ONE,SEABREEZE,27104,199
MEDZ8,HMM,HYUNDAIPLUTO,110632,324
7KHW,ONE,ONEALTAIR,105644,333
UARA3,FES,IPANEMA,21265,180
D5FE7,YML,YMMODESTY,71821,292
V7YB6,ONE,CALIDRIS,35878,213
5LQI5,HMM,HMMEMERALD,126995,335
D5CE3,ONE,GSLCHLOE,26374,209
3E5307,HMM,HMMHARMONY,18812,172
5LPB9,HLC,HOPEC,9921,147
2HDG2,EMC,EVERLIBERAL,99995,335
UBOW6,FES,FESCOYANINA,9522,142
3FTZ5,ONE,STSUCCESS,27104,200
V7GQ8,ONE,WIDEHOTEL,51872,255
D5DQ8,HMM,HYUNDAIPARAMOUNT,52467,255
D5XC6,YML,YMTARGET,115761,330
9VFL3,ONE,ACXDIAMOND,29060,223
V7A2935,HMM,INFERRO,19035,171
5LPB9,HLC,HOPEC,9921,147
D5OX5,YML,YMPLUM,64254,274
DIXJ2,HLC,NEWYORKEXPRESS,143262,366
D5CE3,ONE,GSLCHLOE,26374,209
5LOT3,HMM,HMMGARNET,126995,335
VRPF8,YML,YMWELCOME,145136,368
5LCI2,ONE,SEABREEZE,27104,199
5LAM9,HMM,HMMRAON,152003,366
UBOW6,FES,FESCOYANINA,9522,142
5LRX9,HMM,HMMPEARL,126995,335
VRZB8,FES,JIYU,6094,116
ZGOK7,ONE,ONEARCADIA,105644,332
9V7963,EMC,EVERUNICORN,69246,285
5LPB9,HLC,HOPEC,9921,147
3E5389,HMM,HMMMIRACLE,18812,172
5LOK3,YML,YMWISDOM,151451,366
VRTN4,HLC,MADRIDEXPRESS,141328,366
D5CE3,ONE,GSLCHLOE,26374,209
5LAM6,HMM,HMMDAON,152003,366
7KIL,ONE,ONETHESEUS,76862,304
9VFL3,ONE,ACXDIAMOND,29060,223
