number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,user_attrs_MAE,user_attrs_MSE,user_attrs_R2,user_attrs_RMSE,state
46,0.8404997572638419,2025-09-20 22:40:07.391176,2025-09-20 22:40:08.647748,0 days 00:00:01.256572,0.8642366222840133,3,0.8747316799829657,0.014495487863714667,0.0004035519299781878,0.08207581160526606,5,8,900,52,129.42696348569316,39149.377235603584,0.8404997572638419,197.86201564626694,COMPLETE
47,0.8395648759718654,2025-09-20 22:40:08.648292,2025-09-20 22:40:09.892928,0 days 00:00:01.244636,0.726553613539785,3,0.8828242316529367,0.013890910841256316,1.3863231526115678e-05,0.08374909441463549,5,8,900,53,129.46824732223718,39376.832924071205,0.8395648759718654,198.43596681063443,COMPLETE
45,0.8394171341789655,2025-09-20 22:40:06.120538,2025-09-20 22:40:07.390637,0 days 00:00:01.270099,0.8666786540540837,3,0.8731863392758168,0.012522567044176005,3.4417401193936856e-05,0.08074061066196125,5,9,900,56,129.76523546486868,39416.21993512627,0.8394171341789655,198.53518563500594,COMPLETE
48,0.8390582910674371,2025-09-20 22:40:09.893486,2025-09-20 22:40:11.539825,0 days 00:00:01.646339,0.7161888546635992,3,0.8775417005106366,0.01854815458361188,4.640517775709091e-06,0.0813840035077053,4,8,1000,51,129.81604581128846,39508.06954287503,0.8390582910674371,198.76636924508892,COMPLETE
35,0.8389525272923312,2025-09-20 22:39:50.082579,2025-09-20 22:39:51.659660,0 days 00:00:01.577081,0.880095562009363,4,0.9294430037149694,0.0010660813328447593,2.0900615059902765e-06,0.0767483823614066,6,35,900,96,129.9811562484157,39525.73893714931,0.8389525272923312,198.8108119221621,COMPLETE
49,0.8388551336627879,2025-09-20 22:40:11.540374,2025-09-20 22:40:12.938025,0 days 00:00:01.397651,0.7116876060718795,3,0.875751516595705,0.023415658262154634,4.553335618582924e-06,0.08116119562686805,5,10,1000,56,129.99112647394588,39552.04438782101,0.8388551336627879,198.87695791071678,COMPLETE
13,0.8384921790872945,2025-09-20 22:39:19.025912,2025-09-20 22:39:19.964179,0 days 00:00:00.938267,0.9473260509997643,3,0.9989069932940516,0.12949589798758904,8.60579071331113,0.09475734313713946,3,34,900,100,129.89130213580202,39642.75927261285,0.8384921790872945,199.1048951498,COMPLETE
40,0.8383765361145983,2025-09-20 22:39:56.291276,2025-09-20 22:39:58.543023,0 days 00:00:02.251747,0.8238146611990935,3,0.7862573284662979,0.0004603428225461592,5.142232394455446e-05,0.011534957564490328,7,9,900,63,129.76056290522814,39670.41473311469,0.8383765361145983,199.17433251580056,COMPLETE
26,0.8383417116864867,2025-09-20 22:39:35.957545,2025-09-20 22:39:37.204979,0 days 00:00:01.247434,0.9653470058040062,6,0.8039681995652671,0.0013312947196436528,0.0006769238675195782,0.06654805777644986,6,38,800,92,129.82247349760073,39676.959266262,0.8383417116864867,199.19076099624198,COMPLETE
32,0.8381049385655531,2025-09-20 22:39:45.331188,2025-09-20 22:39:46.823681,0 days 00:00:01.492493,0.9509831743090543,1,0.6897317183969085,0.5791359385867206,7.408612522814434e-05,0.05028540041731137,8,36,600,94,130.3122667249734,39731.95186189393,0.8381049385655531,199.3287532241496,COMPLETE
12,0.8380799618780255,2025-09-20 22:39:18.079615,2025-09-20 22:39:19.025426,0 days 00:00:00.945811,0.9977570979784889,4,0.9699354484362461,0.06159770790630958,7.116092630028837,0.09599522569760753,3,33,1000,99,130.09596708730442,39743.33201313681,0.8380799618780255,199.35729736615315,COMPLETE
16,0.8380411394873818,2025-09-20 22:39:22.893389,2025-09-20 22:39:24.383722,0 days 00:00:01.490333,0.9248459523385741,1,0.6700924205232116,0.21943657400844102,0.0026377176482345528,0.06527973967994091,8,37,600,80,130.3144507903614,39748.658172977164,0.8380411394873818,199.37065524539253,COMPLETE
10,0.8379645998842191,2025-09-20 22:39:16.186130,2025-09-20 22:39:17.137160,0 days 00:00:00.951030,0.9974275040123064,5,0.9971886394383759,0.010822321066679642,3.0949361494968985,0.09283036770531385,3,35,1000,99,130.09726105081828,39780.2329004141,0.8379645998842191,199.4498255211423,COMPLETE
20,0.8378925020005423,2025-09-20 22:39:27.417051,2025-09-20 22:39:28.428979,0 days 00:00:01.011928,0.9567570426025701,2,0.9536480697640668,2.377927680350578e-06,0.027789902820085078,0.07338140318046736,3,30,900,76,130.07475508310728,39796.4632392636,0.8378925020005423,199.4905091458328,COMPLETE
28,0.8377683993663746,2025-09-20 22:39:38.569894,2025-09-20 22:39:40.057604,0 days 00:00:01.487710,0.6936067487606681,6,0.8109801560634208,7.756196954192881e-05,0.00012980124521449346,0.04092763271579991,6,29,900,61,129.7083313839268,39817.53405607463,0.8377683993663746,199.54331373432345,COMPLETE
24,0.8377676053720148,2025-09-20 22:39:32.561190,2025-09-20 22:39:33.560256,0 days 00:00:00.999066,0.9648266999197186,4,0.5082158828312691,0.0663362906877294,0.21333523175970553,0.036012679061376285,4,40,900,83,130.05011667919226,39817.525318523825,0.8377676053720148,199.54329184045207,COMPLETE
25,0.8376760861112041,2025-09-20 22:39:33.560888,2025-09-20 22:39:35.957062,0 days 00:00:02.396174,0.9099216726831624,2,0.6131774045664372,0.005074696851654904,2.3160044263855575,0.013204585558322116,7,25,1000,74,130.48923012576887,39843.950689680525,0.8376760861112041,199.60949548977004,COMPLETE
23,0.8376362903203921,2025-09-20 22:39:31.505545,2025-09-20 22:39:32.560610,0 days 00:00:01.055065,0.8059685076039662,1,0.7081491720386666,0.34211911683549084,0.9139651202396668,0.09835199389308315,5,33,700,100,130.58589341057785,39846.85612153115,0.8376362903203921,199.6167731467753,COMPLETE
17,0.8375690808259086,2025-09-20 22:39:24.384288,2025-09-20 22:39:25.370422,0 days 00:00:00.986134,0.7994167468465435,4,0.8460741068030226,0.1485422228698618,0.41910848568762965,0.027474413907095582,4,28,900,100,130.15477368099988,39868.10428882725,0.8375690808259086,199.66998845301526,COMPLETE
15,0.8374034253561696,2025-09-20 22:39:21.832392,2025-09-20 22:39:22.892778,0 days 00:00:01.060386,0.9257915858233535,3,0.9588103564372423,4.954623831832601e-06,0.06072958572889368,0.033319658362838,4,26,900,87,130.10825650623028,39914.6319340215,0.8374034253561696,199.7864658429632,COMPLETE
33,0.837341861299915,2025-09-20 22:39:46.824562,2025-09-20 22:39:48.693996,0 days 00:00:01.869434,0.9519287167072118,6,0.7212034273946548,1.6142931104710332,3.9329898322430234e-07,0.05317983004962359,8,44,800,94,130.5974479570832,39918.34663175808,0.837341861299915,199.79576229679668,COMPLETE
11,0.8372492704324996,2025-09-20 22:39:17.137696,2025-09-20 22:39:18.079161,0 days 00:00:00.941465,0.9995226785541373,5,0.9936592785977973,0.026389256257616456,1.0984049783849428,0.09555790133120935,3,35,1000,94,130.38114111587305,39947.57247804606,0.8372492704324996,199.8688882193676,COMPLETE
38,0.8370823965360996,2025-09-20 22:39:54.525868,2025-09-20 22:39:55.559821,0 days 00:00:01.033953,0.7874920375192137,2,0.7058227163510258,0.0014575254175306703,5.047695832773925e-07,0.044488182635433436,8,42,400,95,130.6401588706806,39983.59040934821,0.8370823965360996,199.95897181509062,COMPLETE
4,0.8370465341599662,2025-09-20 22:39:08.225789,2025-09-20 22:39:09.955023,0 days 00:00:01.729234,0.8715683925394717,5,0.9141992477052556,0.00337399725242761,5.2435330941036523e-08,0.018687980576661375,7,43,800,84,129.9701169635191,39992.533125401555,0.8370465341599662,199.98133194226293,COMPLETE
19,0.836833543387786,2025-09-20 22:39:25.581347,2025-09-20 22:39:27.416506,0 days 00:00:01.835159,0.6906276930744999,6,0.652423777352822,0.0692439634024193,8.67787108869706,0.02188775785892112,9,37,700,88,130.53808023556934,40048.26746148678,0.836833543387786,200.12063227335352,COMPLETE
21,0.8368278773456777,2025-09-20 22:39:28.429418,2025-09-20 22:39:30.185462,0 days 00:00:01.756044,0.9294240548643731,1,0.6632194884400175,0.5181444496913211,0.0028200246937025077,0.0655992555846168,9,39,600,80,131.06205730798408,40048.87760601201,0.8368278773456777,200.1221567093759,COMPLETE
37,0.8366920811497952,2025-09-20 22:39:53.330868,2025-09-20 22:39:54.525344,0 days 00:00:01.194476,0.8419861190712428,1,0.6193730220938812,9.203345683872946e-07,6.6272941913431905e-06,0.029359340871429468,6,46,700,85,130.58323012817462,40083.08881522432,0.8366920811497952,200.20761427883886,COMPLETE
14,0.83660451474278,2025-09-20 22:39:19.964703,2025-09-20 22:39:21.831821,0 days 00:00:01.867118,0.6852175230535391,3,0.9151396776250292,0.3753594775036187,9.767526304061732,0.04133865222595366,10,31,800,39,130.73086517123133,40107.81746796677,0.83660451474278,200.26936227982245,COMPLETE
43,0.8365011293268765,2025-09-20 22:40:02.566044,2025-09-20 22:40:04.366811,0 days 00:00:01.800767,0.9740537167428807,4,0.7949431784766858,0.0025113421157893093,0.00017370724960551952,0.011638160895334449,6,18,900,48,130.41926609551888,40130.888485621275,0.8365011293268765,200.32695396681214,COMPLETE
22,0.8364574597183964,2025-09-20 22:39:30.186064,2025-09-20 22:39:31.505011,0 days 00:00:01.318947,0.9106615898548486,3,0.6716481705402824,8.454789425453193,0.0005076209516520213,0.062288961075258706,8,50,500,92,130.67747337247494,40140.359768220456,0.8364574597183964,200.35059213344107,COMPLETE
44,0.8362524833039954,2025-09-20 22:40:04.367392,2025-09-20 22:40:06.119924,0 days 00:00:01.752532,0.7576858664213293,5,0.9951359994033669,0.00045707711487333563,1.3892946919773946e-05,0.01961478056569832,7,35,800,96,130.51569697418716,40187.27809473015,0.8362524833039954,200.46764849902877,COMPLETE
31,0.8362076995943213,2025-09-20 22:39:43.129439,2025-09-20 22:39:45.330612,0 days 00:00:02.201173,0.8943712085459126,3,0.8094138191591355,0.03514062373894791,0.0009487759754359233,0.07644839205097541,10,38,700,83,131.3164778070481,40195.83769622945,0.8362076995943213,200.48899644676126,COMPLETE
36,0.8361969061776222,2025-09-20 22:39:51.660299,2025-09-20 22:39:53.330412,0 days 00:00:01.670113,0.8814840873872891,5,0.9329476114417844,2.1508947095894347e-05,1.47876376610576e-06,0.0742985469112018,7,36,800,72,131.08706504827825,40200.079444088886,0.8361969061776222,200.49957467308724,COMPLETE
34,0.8356270571308272,2025-09-20 22:39:48.694582,2025-09-20 22:39:50.081901,0 days 00:00:01.387319,0.6102571578781559,2,0.8085420992718891,0.8087463456875514,3.893618009371062e-05,0.05065362907182648,11,32,400,90,131.46699898966565,40346.12172709952,0.8356270571308272,200.86344049403195,COMPLETE
6,0.8345029660891748,2025-09-20 22:39:11.195148,2025-09-20 22:39:13.265710,0 days 00:00:02.070562,0.8623003138716903,5,0.7585449155159073,2.4680288792653693,0.052643631026488044,0.008272714547928344,7,5,800,55,131.50481041307387,40617.74034800063,0.8345029660891748,201.53843392266555,COMPLETE
8,0.8343678948675508,2025-09-20 22:39:14.331517,2025-09-20 22:39:15.279820,0 days 00:00:00.948303,0.8293490332256441,7,0.7712725555292841,8.871025819203661e-05,0.21109152789456037,0.0159288380649286,12,47,600,23,131.50192149886664,40651.47391815297,0.8343678948675508,201.62210671985594,COMPLETE
1,0.8338435553394717,2025-09-20 22:39:05.874316,2025-09-20 22:39:06.816748,0 days 00:00:00.942432,0.5914978754236594,1,0.7830948960521751,6.760447491708118e-05,2.671255783063995e-07,0.04815683537706143,13,45,300,93,131.79640885011912,40776.95232324846,0.8338435553394717,201.9330392066847,COMPLETE
27,0.8334382581314929,2025-09-20 22:39:37.205584,2025-09-20 22:39:38.569327,0 days 00:00:01.363743,0.9957587822267759,6,0.95958153884269,0.0012801318080536326,4.841216147953785e-06,0.02627833390200638,3,33,800,93,132.41343441225496,40883.90395772352,0.8334382581314929,202.19768534215103,COMPLETE
41,0.8332118932336285,2025-09-20 22:39:58.543626,2025-09-20 22:40:01.023913,0 days 00:00:02.480287,0.8333700854250311,3,0.7718563129873778,0.00020883187062864958,4.3956773618878604e-05,0.006280849080310613,7,9,900,64,131.96377371482765,40935.636909729255,0.8332118932336285,202.32557156654534,COMPLETE
18,0.8284343713922823,2025-09-20 22:39:25.371000,2025-09-20 22:39:25.580837,0 days 00:00:00.209837,0.9376308722034821,2,0.8565584230619698,0.0009934847222023257,0.00010890343207190394,0.05187716447205047,5,22,100,43,134.074123230001,42105.87211502218,0.8284343713922823,205.19715425663725,COMPLETE
39,0.8269317377945914,2025-09-20 22:39:55.560320,2025-09-20 22:39:56.290824,0 days 00:00:00.730504,0.8813827736698913,7,0.9335099783917391,0.006484186479038073,1.220861379947825e-07,0.008718931434974007,6,49,500,23,134.85137748485712,42480.60161598426,0.8269317377945914,206.10822791917906,COMPLETE
29,0.8227109160896268,2025-09-20 22:39:40.058131,2025-09-20 22:39:41.263282,0 days 00:00:01.205151,0.8973316407815154,4,0.8700731075119389,0.0003561169330846146,0.02082312263789033,0.004809786662994947,4,41,1000,89,136.64947618923983,43518.468372276875,0.8227109160896268,208.61080598156192,COMPLETE
30,0.7911979318368905,2025-09-20 22:39:41.263867,2025-09-20 22:39:43.128838,0 days 00:00:01.864971,0.9618904087319071,4,0.8922295164096085,8.789909370568564e-06,1.1625938882733577e-08,0.0019436139726395764,5,17,1000,97,153.54966186248294,51253.19725171986,0.7911979318368905,226.39168989103788,COMPLETE
42,0.7816073410352653,2025-09-20 22:40:01.024376,2025-09-20 22:40:02.565469,0 days 00:00:01.541093,0.8610257601599751,3,0.7361155739140163,2.5402767308955505e-05,2.030749045441385e-06,0.002480272711175271,9,13,800,29,157.82148126034437,53611.418006453794,0.7816073410352653,231.5413958808528,COMPLETE
2,0.7691622092406686,2025-09-20 22:39:06.817245,2025-09-20 22:39:07.336689,0 days 00:00:00.519444,0.7528658709782468,2,0.7336353259212227,2.5596655192720784e-08,2.1664244229623878e-05,0.008638930445358703,6,42,200,78,164.0698335275396,56659.243815962065,0.7691622092406686,238.0320226691402,COMPLETE
5,0.7476418602361682,2025-09-20 22:39:09.955622,2025-09-20 22:39:11.194508,0 days 00:00:01.238886,0.9734925718284406,7,0.5605055990888319,0.01136976811109929,1.4623615220101074e-05,0.003504044172293537,6,14,500,52,173.47319150252113,61944.19045142188,0.7476418602361682,248.88589845835355,COMPLETE
0,0.7244854407949151,2025-09-20 22:39:01.665437,2025-09-20 22:39:05.873658,0 days 00:00:04.208221,0.8887785815728794,5,0.8355974409611064,0.00039201245488217545,5.6244652696822255e-08,0.0012518851990768781,11,16,1000,70,182.56742267547227,67641.02340367713,0.7244854407949151,260.07887919567236,COMPLETE
7,0.7053601083781238,2025-09-20 22:39:13.266449,2025-09-20 22:39:14.330903,0 days 00:00:01.064454,0.8512814047424103,3,0.8991995476977179,3.925177501487557e-08,0.005003093940519893,0.003825235106413831,14,22,300,68,190.07213149357477,72333.07085104182,0.7053601083781238,268.9480820735516,COMPLETE
9,0.580352107146605,2025-09-20 22:39:15.280367,2025-09-20 22:39:16.185681,0 days 00:00:00.905314,0.5056993375045344,4,0.750836716857733,1.9589739124386902,0.004178889007902856,0.0011772514084470854,5,5,700,68,232.43523000906026,103006.49287166634,0.580352107146605,320.9462460781655,COMPLETE
3,0.427520282169325,2025-09-20 22:39:07.337202,2025-09-20 22:39:08.225181,0 days 00:00:00.887979,0.760206701484748,7,0.5675186192033469,4.41992976567771,1.47006170218286e-06,0.001406135186232568,15,6,400,53,277.8099470912022,140500.9204485257,0.427520282169325,374.83452408833114,COMPLETE
